iter	RMSE
0	0.3851380967
1	0.3792731821
2	0.3743690234
3	0.3701128756
4	0.3666021138
5	0.3636987222
6	0.3612507332
7	0.3591620058
8	0.3573508197
9	0.3557611305
10	0.3544395197
11	0.3533233429
12	0.352333691
13	0.351481935
14	0.3507548319
15	0.350165143
16	0.3496577143
17	0.3491810719
18	0.3487898672
19	0.3484391198
20	0.3481462412
21	0.3478610162
22	0.347614812
23	0.3473730447
24	0.3471738817
25	0.3470123378
26	0.3468278611
27	0.3466838917
28	0.3465302022
29	0.3463915505
30	0.3462640627
31	0.3461544987
32	0.3458909543
33	0.3458067924
34	0.3456923109
35	0.3456112646
36	0.3454433948
37	0.3453589711
38	0.3452565657
39	0.3451781404
40	0.3450316061
41	0.3449437029
42	0.3447901418
43	0.3447066294
44	0.344641884
45	0.3445644462
46	0.3444788464
47	0.3443947293
48	0.3443367641
49	0.344271169
50	0.3442335113
51	0.3441687186
52	0.3440433765
53	0.3439612305
54	0.3438963447
55	0.3438314188
56	0.3437759536
57	0.3436844499
58	0.3436334272
59	0.3435440634
60	0.3434957146
61	0.3434455995
62	0.3434010636
63	0.3433522198
64	0.3432857519
65	0.3431994
66	0.3431549719
67	0.3431298834
68	0.3430883121
69	0.3430711733
70	0.3430123273
71	0.3429623793
72	0.3428732183
73	0.3428398696
74	0.342808994
75	0.3427590303
76	0.3427189674
77	0.3426324306
78	0.342565389
79	0.3425038096
80	0.3424608038
81	0.3424466448
82	0.3423767513
83	0.3423160626
84	0.3422607442
85	0.3422143443
86	0.3421858371
87	0.3421727179
88	0.3421322779
89	0.3420970765
90	0.3420459993
91	0.3419837373
92	0.3419757995
93	0.341958128
94	0.3418743026
95	0.3418142684
96	0.3417908074
97	0.3417421825
98	0.3416815075
99	0.3416149252
100	0.341557766
101	0.3414959768
102	0.3414498102
103	0.3414456946
104	0.3414320553
105	0.3414135129
106	0.3413786167
107	0.3412918244
108	0.3412286517
109	0.3411836016
110	0.3411372099
111	0.341132472
112	0.3411060536
113	0.3410905026
114	0.34103026
115	0.3410255347
116	0.3409837912
117	0.3409163552
118	0.3408460353
119	0.3408321469
120	0.3408254065
121	0.3408053675
122	0.3407528581
123	0.3407263681
124	0.3407218215
125	0.3407030152
126	0.3406156705
127	0.3405648499
128	0.3405318949
129	0.3404936264
130	0.3404534941
131	0.3404348843
132	0.3403775975
133	0.3403075891
134	0.3402645172
135	0.340246038
136	0.3402346765
137	0.3401804577
138	0.3401414164
139	0.3401226203
140	0.340091357
141	0.3400821763
142	0.340078157
143	0.3400510644
144	0.3400091449
145	0.3399746265
146	0.3399374663
147	0.3399217066
148	0.3398937408
149	0.339881154
150	0.3398727296
151	0.3398581523
152	0.3397990039
153	0.3397774223
154	0.3397524937
155	0.3397349749
156	0.3397179634
157	0.3396997792
158	0.3396639586
159	0.3396359292
160	0.3396010622
161	0.3395696661
162	0.3395465585
163	0.3395299896
164	0.3394362675
165	0.3394114693
166	0.3393978896
167	0.3393686652
168	0.33935596
169	0.3393430141
170	0.3392972471
171	0.3392776409
172	0.3392650737
173	0.3392543014
174	0.3391837784
175	0.3391692845
176	0.3391552568
177	0.3391344827
178	0.3390922094
179	0.3390411888
180	0.3390323474
181	0.3389861707
182	0.3389439779
183	0.3389265022
