iter	Passed	Remaining
0	16	30431
1	35	32007
2	54	32739
3	75	33774
4	96	34761
5	114	34337
6	135	34766
7	155	34921
8	175	34904
9	197	35314
10	213	34677
11	232	34587
12	257	35437
13	286	36546
14	308	36674
15	331	36988
16	354	37195
17	374	37110
18	396	37122
19	416	37082
20	437	37022
21	456	36931
22	480	37114
23	500	37041
24	525	37275
25	547	37353
26	568	37313
27	588	37272
28	607	37124
29	627	37024
30	650	37099
31	674	37241
32	696	37299
33	716	37221
34	736	37144
35	758	37167
36	781	37248
37	802	37200
38	824	37213
39	846	37233
40	871	37388
41	888	37186
42	908	37107
43	927	36998
44	949	37047
45	972	37070
46	992	37035
47	1014	37020
48	1036	37021
49	1057	37020
50	1079	37034
51	1104	37142
52	1123	37045
53	1142	36932
54	1164	36950
55	1182	36832
56	1204	36844
57	1221	36701
58	1237	36517
59	1258	36489
60	1281	36532
61	1299	36421
62	1327	36611
63	1348	36578
64	1365	36441
65	1383	36349
66	1398	36172
67	1413	36011
68	1429	35862
69	1446	35755
70	1466	35717
71	1488	35716
72	1505	35622
73	1530	35698
74	1549	35635
75	1574	35716
76	1588	35546
77	1605	35443
78	1622	35342
79	1638	35225
80	1659	35208
81	1677	35140
82	1691	34987
83	1708	34894
84	1721	34734
85	1738	34639
86	1757	34599
87	1775	34536
88	1792	34455
89	1808	34363
90	1826	34302
91	1845	34265
92	1865	34243
93	1883	34175
94	1899	34090
95	1920	34089
96	1944	34138
97	1961	34068
98	1978	33996
99	1995	33916
100	2011	33833
101	2029	33777
102	2048	33752
103	2062	33635
104	2079	33574
105	2097	33527
106	2116	33487
107	2131	33400
108	2147	33319
109	2162	33231
110	2177	33134
111	2193	33061
112	2210	33006
113	2226	32923
114	2241	32844
115	2254	32732
116	2269	32639
117	2287	32599
118	2302	32521
119	2313	32388
120	2325	32266
121	2341	32207
122	2354	32102
123	2372	32069
124	2383	31937
125	2400	31895
126	2416	31831
127	2435	31816
128	2449	31726
129	2465	31668
130	2487	31687
131	2502	31623
132	2517	31548
133	2532	31489
134	2552	31474
135	2568	31423
136	2587	31410
137	2602	31341
138	2615	31259
139	2629	31183
140	2648	31165
141	2666	31128
142	2688	31155
143	2702	31076
144	2719	31038
145	2737	31008
146	2756	30994
147	2772	30948
148	2791	30932
149	2807	30886
150	2825	30858
151	2841	30812
152	2858	30766
153	2879	30776
154	2897	30749
155	2914	30715
156	2932	30689
157	2950	30661
158	2967	30622
159	2981	30557
160	2999	30536
161	3011	30450
162	3029	30426
163	3049	30421
164	3067	30391
165	3085	30373
166	3101	30331
167	3119	30303
168	3135	30258
169	3150	30211
170	3167	30170
171	3185	30147
172	3201	30104
173	3217	30066
174	3233	30024
175	3251	30004
176	3274	30024
177	3290	29981
178	3306	29940
179	3321	29893
180	3339	29867
181	3356	29838
182	3369	29775
183	3388	29757
184	3405	29733
185	3423	29710
186	3447	29736
187	3468	29736
188	3487	29728
189	3503	29684
190	3521	29665
191	3539	29640
192	3563	29669
193	3581	29649
194	3604	29664
195	3616	29599
196	3635	29583
197	3651	29543
198	3668	29517
199	3685	29486
200	3701	29449
201	3718	29412
202	3741	29432
203	3759	29413
204	3776	29379
205	3791	29341
206	3808	29312
207	3827	29294
208	3843	29255
209	3863	29252
210	3881	29231
211	3896	29187
212	3908	29122
213	3926	29102
214	3943	29068
215	3960	29045
216	3977	29015
